dk DonkeyKong
pika Pikachu
puff Jigglypuff
icies IceClimbers
doc DrMario
yink YoungLink
ganon Ganondorf
m2 Mewtwo
gnw MrGameWatch
mk MetaKnight
zss ZeroSuitSamus
pt PokemonTrainer
diddy DiddyKong
ddd KingDedede
tink ToonLink
villy Villager
wft WiiFitTrainer
rosa RosalinaLuma
rosalina RosalinaLuma
mac LittleMac
gren Greninja
brawler MiiBrawler
swordfighter MiiSwordfighter
gunner MiiGunner
palu Palutena
pac PacMan
pacman PacMan
dh DuckHunt
corn Corrin
suxs ZeroSuitSamus
bayo Bayonetta
krool KingKRool
kkr KingKRool
isa Isabelle
incin Incineroar
plant PiranhaPlant
banjo BanjoKazooie
alex Steve
enderman Steve
sephi Sephiroth
kazu Kazuya
